Hymnal,Number,Name,TranslationNumber_HymnalE
E,E100,O thou great God,
E,E101,O Jesus, I have promised,
E,E102,Oh, how I love Jesus,
E,E103,One heart and soul,
E,E104,Praise, I will praise You, Lord,
E,E105,Soul, arise! I must be telling,
E,E106,Take my life and let it be,
E,E107,Take my life and let it be,
E,E108,The Father's house is our delight,
E,E109,The Lord is King,
E,E11,God the All powerful,
E,E110,Thee will I love,
E,E111,There's a glorious banner,
E,E112,This be ever my confession,
E,E113,Up, arise, O godly witness,
E,E114,We cannot but be speaking,
E,E115,We praise Thee, Lord, Thou Lion,
E,E116,Windows open to Jerusalem,
E,E117,Word of Life, Thou purest fountain,
E,E118,Your wisdom, Lord, awake in me,
E,E119,Your word, O lord. Is gentle dew,
E,E12,Hallelujah! Fairest morning,
E,E120,Arise and let us hasten,
E,E121,Awake,
E,E122,Brighten every corner,
E,E123,Brightly beams our Fathers Mercy,
E,E124,Bringing in the sheaves,
E,E125,Forth in Thy name, O Lord,
E,E126,Give me courage, Lord,
E,E127,Give me joy in my heart,
E,E128,Give of your best to the Master,
E,E129,God of grace and God of glory,
E,E13,He is exalted,
E,E130,God wants in His vineyard,
E,E131,Have you heard the Master calling?,
E,E132,Hear the watchmen in Zion,
E,E133,Here I am, Lord,
E,E134,I send you forth,
E,E135,Let us turn our faces to the Light,
E,E136,Let your hearts be ever joyful,
E,E137,Lift high the cross,
E,E138,Little drops of water,
E,E139,Make me a channel of Your peace,
E,E14,Holy, holy, holy,
E,E140,Make me a servant,
E,E141,Must I go empty-handed?,
E,E142,O blessed house,
E,E143,O Master, let me walk with Thee,
E,E144,Of service be to Jesus,
E,E145,One thing's needful!,
E,E146,Only remembered,
E,E147,Pass it on,
E,E148,Rise, my soul, gird thee with power,
E,E149,Seek ye first,
E,E15,How great Thou art,
E,E150,So much to learn remains,
E,E151,So send I you,
E,E152,Stand up for Jesus,
E,E153,Striving onward, pressing forward,
E,E154,Take time to be holy,
E,E155,Take time to be holy,
E,E156,The Servant King,
E,E157,The servant song,
E,E158,The time of grace redeem today,
E,E159,The work is Thine,
E,E16,How lovely on the Sabbath day,
E,E160,There are lonely hearts to gladden,
E,E161,Thy hand, O God, has guided,
E,E162,To the work! To the work!,
E,E163,To your first love be returning,
E,E164,What shall the harvest be?,
E,E165,While the sun for us shines brightly,
E,E166,Who is on the Lords side?,
E,E167,Work, for the night is coming,
E,E168,Yield not to temptation,
E,E169,You servants to the Lord,
E,E17,How shall I sing that majesty?,
E,E170,A little child feels longing for its mother,
E,E171,A little ship sailed over the sea,
E,E172,A mighty fortress is our God,
E,E173,And Jesus said,
E,E174,Be still, my soul,
E,E175,Come, come, ye saints,
E,E176,Commit your way, confiding,
E,E177,Count your blessings,
E,E178,Forever with the Lord,
E,E179,God is our strength and refuge,
E,E18,I sing the mighty power of God,
E,E180,God moves in mysterious way,
E,E181,God of our fathers,
E,E182,God will take care of you,
E,E183,Hiding in Thee,
E,E184,Hold the fort,
E,E185,How firm a foundation,
E,E186,I know whom I believed,
E,E187,I will guide thee,
E,E188,If God Himself is for me,
E,E189,I'm the child of a King,
E,E19,I worship You, almighty God,
E,E190,In times like these,
E,E191,It is no secret,
E,E192,I've found a joy in sorrow,
E,E193,Jesus never fails,
E,E194,Jesus, Lover of my soul,
E,E195,Jesus, Lover of my soul,
E,E196,Jesus, Saviour, pilot me,
E,E197,Lead on, O King eternal,
E,E198,Light after darkness,
E,E199,Lord, Thou camest in compassion,
E,E2,All creatures of our God and King,
E,E20,Joyful, joyful we adore Thee,
E,E200,Make no plans without the Lord,
E,E201,Master the tempest raging,
E,E202,My Jesus is my dearest Friend,
E,E203,Not human advice,
E,E204,On eagles wings,
E,E205,Of Zion's mount of radiant light,
E,E206,Our God is true,
E,E207,Safely faith through life will guide us,
E,E208,Should my pathway lead,
E,E209,Someday there will be peace,
E,E21,O God beyond all praising,
E,E210,Star, to which I'm looking,
E,E211,Strong is my Lord Jesus' hand,
E,E212,Take Jesus in your ship of life,
E,E213,Take the name of Jesus with you,
E,E214,The king of love my Shepherd is,
E,E215,The Lord knows all His people,
E,E216,The Lord's my Shepherd,
E,E217,The Lord's my Shepherd,
E,E218,Through every land they journey,
E,E219,Toiling bravely onward,
E,E22,O God, our help in ages past,
E,E220,Trust and obey,
E,E221,Trusting each and every day,
E,E222,Victory through grace,
E,E223,Wait, my soul, and tarry,
E,E224,We are in need of patience,
E,E225,We would our Saviour see,
E,E226,What a Friend we have in Jesus,
E,E227,When Jesus lives in me,
E,E228,When the storms of life are raging,
E,E229,With golden staff in hand,
E,E23,O sanctified Sunday,
E,E230,With you, O Lord, united,
E,E231,Zion's sheltered by Gods mountains,
E,E232,Abide with me,
E,E233,Abide with us, Lord Jesus,
E,E234,As the deer,
E,E235,Be Thou my vision,
E,E236,Before my hearts King bowing,
E,E237,Blessed Jesus, at Thy word,
E,E238,Dear Lord, I give completely,
E,E239,Gentle Shepherd, Come and lead us,
E,E24,Open our eyes,
E,E240,Give me a perfect heart,
E,E241,God, all powerful, help the humble,
E,E242,Guide me, O Thou great Redeemer,
E,E243,Have Thine Own way, Lord,
E,E244,Here is my heart,
E,E245,I need Thee every hour,
E,E246,I want to love you Thee more sincerely,
E,E247,Just as God leads me,
E,E248,Lord, preserve my soul,
E,E249,Lord, teach us how to pray aright,
E,E25,Surely the presence,
E,E250,Master, speak, Thy servant heareth,
E,E251,My Father, as You will,
E,E252,Nearer, my God, to Thee,
E,E253,Nearer, my God, to Thee,
E,E254,No longer my own,
E,E255,O for my heart to praise my God,
E,E256,O Love, that will not let Thee go,
E,E257,Prayer is the souls sincere desire,
E,E258,Precious Lord, take my Hand,
E,E259,Saviour, like a shepherd lead us,
E,E26,This is the glorious day,
E,E260,See, I spread my arms in yearning,
E,E261,Sweet hour of prayer,
E,E262,Take Thou my hand and lead me,
E,E263,Teach me the measure of my days,
E,E264,To pray to God in heaven,
E,E265,Whatever my God ordains is right,
E,E266,Your way, not mine, O Lord,
E,E267,A sparkling stream,
E,E268,Arise, your light is come,
E,E269,Behold Me standing at your door,
E,E27,We gather together,
E,E270,Bethesda is open,
E,E271,Break Thou the bread of life,
E,E272,Christ, whose glory fills the skies,
E,E273,Come in, O Lord, come in!,
E,E274,Come near, you are invited,
E,E275,Come to the life giving fountain,
E,E276,Come to the Saviour,
E,E277,Come, for the feast is spread,
E,E278,For you I am praying,
E,E279,Fresh from the throne of glory,
E,E28,We love the place, O God,
E,E280,Glorious, glorious is the Work of God,
E,E281,God is offering through the Saviour,
E,E282,Hark! Jesus calls,
E,E283,Hark! the gospel bells are ringing,
E,E284,Hark! Who's knocking,
E,E285,Have you any room for Jesus?,
E,E286,Hearken! The narrow way,
E,E287,I know of a city,
E,E288,I know of a fountain,
E,E289,I know of a river,
E,E29,Worthy of worship,
E,E290,Jesus is calling,
E,E291,Let in your Saviour,
E,E292,Let the children to me gather,
E,E293,Let there be light,
E,E294,Love divine, all loves excelling,
E,E295,O come now to Jesus,
E,E296,O come with me,
E,E297,O where is Jesus?,
E,E298,Of compassion and salvation,
E,E299,Open now the gates of beauty,
E,E3,All things bright and beautiful,
E,E30,All hail the power of Jesus' name,
E,E300,Softly and tenderly,
E,E301,See, who's standing at your door,
E,E302,Shine, Jesus, shine,
E,E303,There is a calling most precious,
E,E304,There is still room,
E,E305,Theres a place,
E,E306,Thou didst leave Thy throne,
E,E307,Welcome to the Fount of mercy,
E,E308,Whosoever heareth,
E,E309,Why wait ye still outside the portals?,
E,E31,All hail the power of Jesus' name,
E,E310,Wonderful words of life,
E,E311,Amazing grace,
E,E312,Come, Thou fount of every blessing,
E,E313,Endless compassion,
E,E314,Forgive our sins as we forgive,
E,E315,Fountain o purity,
E,E316,Here is Jesus, here is mercy,
E,E317,How often do I wonder,
E,E318,I hear Thy welcome voice,
E,E319,I know of something precious,
E,E32,All lands to God,
